,Customer_Name,Similar_Name
437,burgel wirtschaftsinformationen,burgel wirtschaftsinformationen gmbh & co. kg
438,business first bank,first business bank
439,butler university,butler county community college
440,butler university,butler memorial hospital
441,butterfield bank,butterfield bank guernsey
442,bwx technologies,bwx technology
443,bwx technology,bwx technologies
444,ca technologies,ca technologies
445,ca technologies,ca technologies
446,cae inc.,cae uk plc
447,california manufacturing,california manufacturing technology consulting (cmtc)
448,calumet,calumet photographic limited
449,cambridge assessment,ucles - cambridge assessment (im)
450,cambridge consultants,cambridge consultants ltd
451,cambridge consultants ltd,cambridge consultants
452,can capital,national can industries
453,canada life,canada life
454,canada life,canada life group services
455,canada life,canada life group services ltd
456,canada life,canada life
457,canada life,canada life group services
458,canada life,canada life group services ltd
459,canopius,canopius managing agents ltd
460,capgemini,capgemini america
461,capgemini,capgemini nederland b.v.
462,capgemini,capgemini nederland bv
463,capgemini,capgemini uk ltd
464,capgemini,capgemini uk plc
465,capgemini america,capgemini
466,capgemini america,capgemini uk ltd
467,capita,capita (uk)
468,capita,capita 02 partnership
469,capita,capita asset services
470,capita,capita business services ltd
471,capita,capita business services ltd fao accounts payable
472,capita,capita business services ltd use account 44737
473,capita,capita commercial services ltd
474,capita,capita customer management
475,capita,capita customer management ltd
476,capita,capita group plc
477,capita,capita health & wellbeing
478,capita,capita insurance services ltd
479,capita,capita it services
480,capita,capita it services limited
481,capita,capita it services ltd
482,capita,capita it services ltd - bae
483,capita,capita it services ltd fao accounts payable
484,capita,capita life & pensions
485,capita,capita managed it solutions
486,capita,capita plc
487,capita,capita registrars ltd
488,capita,capita sis - rochford district council
489,capita,capita sis - watford council & 3 rivers
490,capita (uk),capita
491,capita customer management,capita customer management ltd
492,capita group plc,capita plc
493,capita it services,capita it services limited
494,capita it services,capita it services ltd
495,capita plc,capita
496,capita plc,capita group plc
497,cardiovascular institute,cardiovascular systems inc.
498,cardworks,cardworks acquiring
499,cardworks acquiring,cardworks
500,carexpert gmbh,carexpert kfz-sachverständigen gmbh
501,carglass,carglass belgium nv
502,carige assicurazioni,carige vita nuova assicurazioni
503,carlson wagonlit,carlson wagonlit sas
504,carlson wagonlit,carlson wagonlit singapore pte
505,carlson wagonlit,carlson wagonlit singapore pte
506,carlson wagonlit,carlson wagonlit travel
507,carlson wagonlit,carlson wagonlit travel españa
508,cascade engineering,cascade europe b.v.
509,cascade engineering,cascade school district
510,casino niagara,niagara college
511,cbb mobil,cbb mobil a/s
512,cbs,cbs corporation
513,cbs corporation,cbs
514,ccs bv,ccs computers
515,ccs computers,ccs bv
516,cdw corporation,cdw limited
517,cdw limited,cdw corporation
518,cegedim,cegedim prestation conseil outsourc
519,cegedim,cegedim sa
520,cegedim sa,cegedim
521,cegeka,cegeka csp
522,cegeka,cegeka ict diensten nv gva
523,cegeka,cegeka industrie nv
524,cegeka,cegeka n.v.
525,cegeka,cegeka nederland b.v.
526,cegeka csp,cegeka
527,cegeka n.v.,cegeka
528,celgene corporation,celgene international sarl
529,cellent,cellent ag
530,cellent,cellent finance solutions gmbh
531,cellent ag,cellent
532,cellent ag,cellent finance solutions gmbh
533,cellular dynamics international,cellular dynamics international inc.
534,centene corp.,centene corporation
535,centene corporation,centene corp.
536,centre college,centre college of kentucky
537,centrica,centrica plc
538,centrica,centrica production ltd
539,centrica plc,centrica
540,centro,centro de estudios andaluces
541,centro,centro de pericias cientificas
542,centro,centro factoring s.p.a.
543,centro,centro geo
544,centro,centro medico san nicolas
545,centro,centro sistemi informativi
546,centro,conad centro nord soc.coop
547,centro,estav centro
548,centro geo,centro
549,centurylink,centurylink - mn
550,ceska republika,dalkia ceska republika a.s
551,chambre d'agriculture,chambre d'agriculture centre
552,chambre d'agriculture,chambre d'agriculture poitou-charentes
553,chandler macleod group,chandler macleod group limited
554,chemetall gmbh,chemetall oakite
555,chemetall gmbh,chemetall s.a.s:
556,chemetall oakite,chemetall gmbh
557,chemetall s.a.s:,chemetall gmbh
558,chengdu bank,bank of chengdu
559,cheque dejeuner,groupe cheque dejeuner
560,chevron products,chevron products company richmond
561,chevron products,"chevron products company, el"
562,chevron products,"chevron products company, richmond"
563,chg meridian,chg - meridian ag
564,chp consulting,chp consulting ltd (lum)
565,chriwa wasseraufbereitungstechnik,chriwa wasseraufbereitungstechnik gmbh
