New_Deal_Count,Product_Family,Product_Code,Product_Name
1,ES,S-DAC-DC-S,"Ivanti Device and Application Control (DC Only) Subscription 1 Yr, powered by HEAT"
17,File Director,DN LIC 00 P,"Ivanti File Director - Named User License, powered by AppSense"
1,File Director,WINUMIG-S,Windows User Migration Subscription
5,Go,SKIT-ITS1XL-SUB,"IT.Shavlik, Limited Scans"
35,Go,SKIT-ITS1XU-ISUB,"DO NOT SELL IT.Shavlik (IT Pro) Subcription, Unlimited Scans, 1 Year Initial"
1,Go,SKIT-ITS1XU-RSUB,"IT.Shavlik (IT Pro) Subcription, Unlimited Scans, 1 Year Renewal"
16,Go,SKIT-ITS1XU-SUB,"IT.Shavlik, Unlimited Scans"
4,Go,SKIT-ITS2XU-ISUB,"DO NOT SELL IT.Shavlik (IT Pro) Subcription, Unlimited Scans, 2 Year Initial"
11,Go,SKIT-ITS3XU-ISUB,"DO NOT SELL IT.Shavlik (IT Pro) Subcription, Unlimited Scans, 3 Year Initial"
1,Go,SKIT-ITS3XU-RSUB,"IT.Shavlik (IT Pro) Subcription, Unlimited Scans, 3 Year Renewal"
60,Go,SKIT-VGO1-ISUB,"VMware Go Pro Term License + SaaS Basic Support for 1 year, for 10 managed machines"
1,Go,SKIT-VGO2-ISUB,"VMware Go Pro Term License + SaaS Basic Support for 2 year, for 10 managed machines"
4,Go,SKIT-VGO3-ISUB,"VMware Go Pro Term License + SaaS Basic Support for 3 year, for 10 managed machines"
95,Go,SKPR-ITS3XU-ISUB,"DO NOT SELL IT.Shavlik (IT Pro) Subcription, Unlimited Scans, 3 Year Initial, Promotion"
16,Go,VP-GO-G-SAAS-C,"VMware Go Pro Service + SaaS Basic Support for 1 year, for 10 managed machines"
10,Handheld Manager,LDHM-L,LANDesk Handheld Manager
10,Handheld Manager,LDHM-L,"Ivanti Handheld Manager, powered by Landesk"
61,HEAT 2014 Premise,HTPCF0001,"Ivanti Service Management Named (P) Perpetual License - Powered by HEAT, Volume Only"
94,HEAT 2014 Premise,HTPCF0002,"Ivanti Service Management Concurrent (P) Perpetual License - Powered by HEAT, Volume Only"
86,HEAT 2014 Premise,HTPCF0005,"Ivanti Help Desk Named (P) Perpetual License - Powered by HEAT, Volume Only"
158,HEAT 2014 Premise,HTPCF0006,"Ivanti Help Desk Concurrent (P) Perpetual License - Powered by HEAT, Volume Only"
61,HEAT 2014 Premise,HTPCF0009,"Ivanti Service Desk Named (P) Perpetual License - Powered by HEAT, Volume Only"
127,HEAT 2014 Premise,HTPCF0010,"Ivanti Service Desk Concurrent (P) Perpetual License - Powered by HEAT, Volume Only"
28,HEAT 2014 Premise,HTPCF0013,"Ivanti Service Management Named 2015 (P) Perpetual License - Powered by HEAT, Volume Only"
58,HEAT 2014 Premise,HTPCF0014,"Ivanti Service Management Conc 2015 (P) Perpetual License - Powered by HEAT, Volume Only"
17,HEAT 2014 Premise,HTPCL0001,HEAT Service Catalog (P)
1,HEAT 2014 Premise,HTPCL0002,HEAT Self Service (P)
3,HEAT 2014 Premise,HTPCL0003,HEAT Mobile (P)
4,HEAT 2014 Premise,HTPCL0004,"Ivanti Service Catalog Stand Alone (P) Perpetual License - Powered by HEAT, Volume Only"
2,HEAT 2014 Premise,HTPCL0006,HEAT Service Mgmt Hot Standby (P)
2,HEAT 2014 Premise,HTSSV0004,"Ivanti Service Mgmt Named 1Yr Subscription - Powered by HEAT, Volume/Renewal Only"
2,HEAT 2014 Premise,HTSSV0007,"Ivanti Service Mgmt Conc 1Yr Subscription - Powered by HEAT, Volume/Renewal Only"
3,HEAT 2014 Premise,HTSSV0029,"Ivanti Self Service Subscriptionscription 1Yr Subscription - Powered by HEAT, Renewal Only"
2,HEAT 2014 Premise,HTVCF0001,HEAT Voice Automation (P)
43,HEAT 2014 Premise,HTVCL0001,"Ivanti Voice Supervisor (P) Perpetual License - Powered by HEAT, Volume Only"
7,HEAT 2014 Premise,HTVCL0004,"Ivanti Voice Web Statistics Users (P) Perpetual License - Powered by HEAT, Volume Only"
17,HEAT 2014 Premise,HTVCL0005,"Ivanti Voice & Routing Ports (P) Perpetual License - Powered by HEAT, Volume Only"
3,HEAT 2014 Premise,HTVCL0006,"Ivanti Voice Business Users Extensions (P) Perpetual License - Powered by HEAT, Volume Only"
